    ,初始日期   ,初始指数  ,到期日期   ,到期指数  ,敲入日期 ,敲入点位 ,敲出日期   ,敲出点位  ,敲入敲出状态   ,敲出所需时间（月） ,绝对收益率            ,年化收益率             ,完成周期
  0 ,2018-01-02 ,2908.7318 ,2020-01-02 ,3090.8331 ,         ,         ,2019-07-02 ,2999.0759 ,未敲入，敲出   ,                18 ,0.11934246575342465   ,0.12                   ,True
  1 ,2018-01-03 ,2913.2596 ,2020-01-03 ,3078.2793 ,         ,         ,2019-11-04 ,3022.2749 ,未敲入，敲出   ,                22 ,0.1463013698630137    ,0.12                   ,True
  2 ,2018-01-04 ,2919.4787 ,2020-01-06 ,3056.8359 ,         ,         ,2019-11-04 ,3022.2749 ,未敲入，敲出   ,                22 ,0.14597260273972604   ,0.12                   ,True
  3 ,2018-01-05 ,2932.3558 ,2020-01-06 ,3056.8359 ,         ,         ,2019-11-05 ,3039.9772 ,未敲入，敲出   ,                22 ,0.14597260273972604   ,0.12                   ,True
  4 ,2018-01-08 ,2947.7613 ,2020-01-08 ,3037.8525 ,         ,         ,2019-11-08 ,3012.4594 ,未敲入，敲出   ,                22 ,0.14663013698630137   ,0.12                   ,True
  5 ,2018-01-09 ,2969.3175 ,2020-01-09 ,3067.5456 ,         ,         ,2020-01-09 ,3067.5456 ,未敲入，敲出   ,                24 ,0.16043835616438354   ,0.12                   ,True
  6 ,2018-01-10 ,2995.5641 ,2020-01-10 ,3067.881  ,         ,         ,2020-01-10 ,3067.881  ,未敲入，敲出   ,                24 ,0.16043835616438354   ,0.12                   ,True
  7 ,2018-01-11 ,2997.0448 ,2020-01-13 ,3090.1284 ,         ,         ,2020-01-13 ,3090.1284 ,未敲入，敲出   ,                24 ,0.16043835616438354   ,0.12                   ,True
  8 ,2018-01-12 ,3018.5957 ,2020-01-13 ,3090.1284 ,         ,         ,2020-01-13 ,3090.1284 ,未敲入，敲出   ,                24 ,0.16010958904109587   ,0.12                   ,True
  9 ,2018-01-15 ,3048.8075 ,2020-01-15 ,3058.0078 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,0.0030176716634291445 ,0.0022570699941631923  ,True
 10 ,2018-01-16 ,3063.8609 ,2020-01-16 ,3043.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.006778310333866666 ,-0.00506984277020765   ,True
 11 ,2018-01-17 ,3076.1819 ,2020-01-17 ,3053.1729 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.007479726735275305 ,-0.005594467742572718  ,True
 12 ,2018-01-18 ,3106.5516 ,2020-01-20 ,3065.9906 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.013056599478341147 ,-0.009765694281955981  ,True
 13 ,2018-01-19 ,3117.8212 ,2020-01-20 ,3065.9906 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.016623980874849287 ,-0.012459451785051314  ,True
 14 ,2018-01-22 ,3130.3299 ,2020-01-22 ,3017.8785 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.03592317857616234  ,-0.026868770861268963  ,True
 15 ,2018-01-23 ,3176.5042 ,2020-01-23 ,2932.4932 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.07681746493519515  ,-0.0574556858634144    ,True
 16 ,2018-01-24 ,3180.3318 ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.14251302332668558  ,-0.10659273261114803   ,True
 17 ,2018-01-25 ,3157.4592 ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.1363013970220105   ,-0.10215607785017214   ,True
 18 ,2018-01-26 ,3172.7776 ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.14047139641933926  ,-0.10549806521205521   ,True
 19 ,2018-01-29 ,3120.6951 ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.12612638767561746  ,-0.09491985876618633   ,True
 20 ,2018-01-30 ,3079.1178 ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.11432648013661573  ,-0.0862172835741007    ,True
 21 ,2018-01-31 ,3116.8331 ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.12504358991824094  ,-0.09449463834401231   ,True
 22 ,2018-02-01 ,3141.23   ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.13183908850991488  ,-0.09983665416207246   ,True
 23 ,2018-02-02 ,3149.6414 ,2020-02-03 ,2727.0931 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.1341575901307368   ,-0.10180357671043437   ,True
 24 ,2018-02-05 ,3181.3393 ,2020-02-05 ,2812.8993 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.11581285906850614  ,-0.087700609045653     ,True
 25 ,2018-02-06 ,3117.4905 ,2020-02-06 ,2854.8878 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.08423528475868647  ,-0.06378813057452398   ,True
 26 ,2018-02-07 ,3029.6011 ,2020-02-07 ,2851.7105 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.058717499145349406 ,-0.04446449624077289   ,True
 27 ,2018-02-08 ,2945.8438 ,2020-02-10 ,2850.0642 ,         ,         ,2019-11-08 ,3012.4594 ,未敲入，敲出   ,                21 ,0.13906849315068492   ,0.12                   ,True
 28 ,2018-02-09 ,2810.0273 ,2020-02-10 ,2850.0642 ,         ,         ,2019-04-09 ,2967.5136 ,未敲入，敲出   ,                14 ,0.09172602739726027   ,0.12                   ,True
 29 ,2018-02-12 ,2805.211  ,2020-02-12 ,2895.5859 ,         ,         ,2019-04-12 ,2920.5151 ,未敲入，敲出   ,                14 ,0.09238356164383561   ,0.12                   ,True
 30 ,2018-02-13 ,2852.7169 ,2020-02-13 ,2875.4794 ,         ,         ,2019-04-15 ,2924.9257 ,未敲入，敲出   ,                14 ,0.09238356164383561   ,0.12                   ,True
 31 ,2018-02-14 ,2871.7873 ,2020-02-14 ,2895.0644 ,         ,         ,2019-09-16 ,2982.4481 ,未敲入，敲出   ,                19 ,0.12657534246575342   ,0.12                   ,True
 32 ,2018-02-22 ,2931.8815 ,2020-02-24 ,2930.0332 ,         ,         ,2020-01-22 ,3017.8785 ,未敲入，敲出   ,                23 ,0.15452054794520548   ,0.12                   ,True
 33 ,2018-02-23 ,2957.171  ,2020-02-24 ,2930.0332 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.00917694648026779  ,-0.0068921511631640795 ,True
 34 ,2018-02-26 ,2973.7855 ,2020-02-26 ,2901.6734 ,         ,         ,           ,          ,未敲入，未敲出 ,                   ,-0.02424926074863165  ,-0.018174497275668486  ,True
 35 ,2018-02-27 ,2927.0968 ,2020-02-27 ,2912.0364 ,         ,         ,2019-12-27 ,3017.7787 ,未敲入，敲出   ,                22 ,0.14794520547945206   ,0.12                   ,True
 36 ,2018-02-28 ,2878.6666 ,2020-02-28 ,2821.0419 ,         ,         ,2019-04-29 ,2939.405  ,未敲入，敲出   ,                14 ,0.09369863013698629   ,0.12                   ,True
 37 ,2018-03-01 ,2891.2982 ,2020-03-02 ,2907.8863 ,         ,         ,2019-07-01 ,3002.9395 ,未敲入，敲出   ,                16 ,0.10684931506849316   ,0.12                   ,True
 38 ,2018-03-02 ,2864.1834 ,2020-03-02 ,2907.8863 ,         ,         ,2019-07-02 ,2999.0759 ,未敲入，敲出   ,                16 ,0.10684931506849316   ,0.12                   ,True
 39 ,2018-03-05 ,2863.9909 ,2020-03-05 ,3018.0701 ,         ,         ,2019-04-08 ,2962.2749 ,未敲入，敲出   ,                13 ,0.08778082191780821   ,0.12                   ,True
 40 ,2018-03-06 ,2892.4752 ,2020-03-06 ,2964.8348 ,         ,         ,2019-04-08 ,2962.2749 ,未敲入，敲出   ,                13 ,0.08745205479452055   ,0.12                   ,True
 41 ,2018-03-07 ,2878.1506 ,2020-03-09 ,2868.8297 ,         ,         ,2019-04-08 ,2962.2749 ,未敲入，敲出   ,                13 ,0.08712328767123287   ,0.12                   ,True
 42 ,2018-03-08 ,2898.2542 ,2020-03-09 ,2868.8297 ,         ,         ,2019-04-08 ,2962.2749 ,未敲入，敲出   ,                13 ,0.0867945205479452    ,0.12                   ,True
 43 ,2018-03-09 ,2908.1974 ,2020-03-09 ,2868.8297 ,         ,         ,2019-04-09 ,2967.5136 ,未敲入，敲出   ,                13 ,0.0867945205479452    ,0.12                   ,True
 44 ,2018-03-12 ,2909.5793 ,2020-03-12 ,2841.9824 ,         ,         ,2019-09-12 ,2999.5617 ,未敲入，敲出   ,                18 ,0.12197260273972602   ,0.12                   ,True
 45 ,2018-03-13 ,2883.3771 ,2020-03-13 ,2798.7695 ,         ,         ,2019-09-16 ,2982.4481 ,未敲入，敲出   ,                18 ,0.12197260273972602   ,0.12                   ,True
 46 ,2018-03-14 ,2871.334  ,2020-03-16 ,2694.0229 ,         ,         ,2019-09-16 ,2982.4481 ,未敲入，敲出   ,                18 ,0.12164383561643835   ,0.12                   ,True
 47 ,2018-03-15 ,2894.9828 ,2020-03-16 ,2694.0229 ,         ,         ,2019-09-16 ,2982.4481 ,未敲入，敲出   ,                18 ,0.12131506849315069   ,0.12                   ,True
 48 ,2018-03-16 ,2870.7318 ,2020-03-16 ,2694.0229 ,         ,         ,2019-04-16 ,3023.0253 ,未敲入，敲出   ,                13 ,0.0867945205479452    ,0.12                   ,True
 49 ,2018-03-19 ,2897.2558 ,2020-03-19 ,2569.7891 ,         ,         ,2019-04-19 ,3042.4321 ,未敲入，敲出   ,                13 ,0.08745205479452055   ,0.12                   ,True
 50 ,2018-03-20 ,2904.3972 ,2020-03-20 ,2628.4161 ,         ,         ,2019-04-22 ,2970.488  ,未敲入，敲出   ,                13 ,0.08745205479452055   ,0.12                   ,True
 51 ,2018-03-21 ,2894.1835 ,2020-03-23 ,2559.6192 ,         ,         ,2019-04-22 ,2970.488  ,未敲入，敲出   ,                13 ,0.08712328767123287   ,0.12                   ,True
 52 ,2018-03-22 ,2866.6702 ,2020-03-23 ,2559.6192 ,         ,         ,2019-04-22 ,2970.488  ,未敲入，敲出   ,                13 ,0.0867945205479452    ,0.12                   ,True
