代码,简称,日期,收盘价,
881001.WI,万得全A,2010-01-04,2917.8525,
881001.WI,万得全A,2010-01-05,2941.4729,
881001.WI,万得全A,2010-01-06,2921.8748,
881001.WI,万得全A,2010-01-07,2860.3718,
881001.WI,万得全A,2010-01-08,2872.4092,
881001.WI,万得全A,2010-01-11,2879.4717,
881001.WI,万得全A,2010-01-12,2929.6306,
881001.WI,万得全A,2010-01-13,2849.6272,
881001.WI,万得全A,2010-01-14,2896.4685,
881001.WI,万得全A,2010-01-15,2909.5247,
881001.WI,万得全A,2010-01-18,2928.5186,
881001.WI,万得全A,2010-01-19,2930.5088,
881001.WI,万得全A,2010-01-20,2834.6848,
881001.WI,万得全A,2010-01-21,2848.9463,
881001.WI,万得全A,2010-01-22,2810.123,
881001.WI,万得全A,2010-01-25,2777.9014,
881001.WI,万得全A,2010-01-26,2703.8921,
881001.WI,万得全A,2010-01-27,2671.957,
881001.WI,万得全A,2010-01-28,2685.3835,
881001.WI,万得全A,2010-01-29,2687.7942,
881001.WI,万得全A,2010-02-01,2649.4207,
881001.WI,万得全A,2010-02-02,2640.9209,
881001.WI,万得全A,2010-02-03,2699.0854,
881001.WI,万得全A,2010-02-04,2699.5786,
881001.WI,万得全A,2010-02-05,2648.3767,
881001.WI,万得全A,2010-02-08,2645.0698,
881001.WI,万得全A,2010-02-09,2653.5195,
881001.WI,万得全A,2010-02-10,2686.8813,
881001.WI,万得全A,2010-02-11,2688.6826,
881001.WI,万得全A,2010-02-12,2719.0105,
881001.WI,万得全A,2010-02-22,2707.8972,
881001.WI,万得全A,2010-02-23,2695.8149,
881001.WI,万得全A,2010-02-24,2737.2981,
881001.WI,万得全A,2010-02-25,2776.0027,
881001.WI,万得全A,2010-02-26,2771.115,
881001.WI,万得全A,2010-03-01,2804.8689,
881001.WI,万得全A,2010-03-02,2796.9819,
881001.WI,万得全A,2010-03-03,2819.6604,
881001.WI,万得全A,2010-03-04,2746.6982,
881001.WI,万得全A,2010-03-05,2753.2737,
881001.WI,万得全A,2010-03-08,2775.3411,
881001.WI,万得全A,2010-03-09,2790.0388,
881001.WI,万得全A,2010-03-10,2767.6985,
881001.WI,万得全A,2010-03-11,2765.7578,
881001.WI,万得全A,2010-03-12,2729.1772,
881001.WI,万得全A,2010-03-15,2696.2683,
881001.WI,万得全A,2010-03-16,2715.127,
881001.WI,万得全A,2010-03-17,2773.3787,
881001.WI,万得全A,2010-03-18,2770.2295,
881001.WI,万得全A,2010-03-19,2790.5957,
881001.WI,万得全A,2010-03-22,2799.6973,
881001.WI,万得全A,2010-03-23,2781.646,
881001.WI,万得全A,2010-03-24,2789.1377,
881001.WI,万得全A,2010-03-25,2754.7568,
881001.WI,万得全A,2010-03-26,2792.1946,
881001.WI,万得全A,2010-03-29,2847.2852,
881001.WI,万得全A,2010-03-30,2854.9307,
881001.WI,万得全A,2010-03-31,2841.9175,
881001.WI,万得全A,2010-04-01,2879.197,
881001.WI,万得全A,2010-04-02,2888.1436,
881001.WI,万得全A,2010-04-06,2887.6794,
881001.WI,万得全A,2010-04-07,2882.0188,
881001.WI,万得全A,2010-04-08,2859.2031,
881001.WI,万得全A,2010-04-09,2888.3198,
881001.WI,万得全A,2010-04-12,2877.9897,
881001.WI,万得全A,2010-04-13,2891.6836,
881001.WI,万得全A,2010-04-14,2903.678,
881001.WI,万得全A,2010-04-15,2890.3345,
881001.WI,万得全A,2010-04-16,2865.4258,
881001.WI,万得全A,2010-04-19,2729.0161,
881001.WI,万得全A,2010-04-20,2732.186,
881001.WI,万得全A,2010-04-21,2790.0979,
881001.WI,万得全A,2010-04-22,2769.5701,
881001.WI,万得全A,2010-04-23,2753.281,
881001.WI,万得全A,2010-04-26,2741.5742,
881001.WI,万得全A,2010-04-27,2685.8318,
881001.WI,万得全A,2010-04-28,2675.7263,
881001.WI,万得全A,2010-04-29,2636.4863,
881001.WI,万得全A,2010-04-30,2623.2981,
881001.WI,万得全A,2010-05-04,2595.635,
881001.WI,万得全A,2010-05-05,2626.0454,
881001.WI,万得全A,2010-05-06,2525.6462,
881001.WI,万得全A,2010-05-07,2480.2161,
881001.WI,万得全A,2010-05-10,2479.5588,
881001.WI,万得全A,2010-05-11,2426.5657,
881001.WI,万得全A,2010-05-12,2425.708,
881001.WI,万得全A,2010-05-13,2482.4351,
881001.WI,万得全A,2010-05-14,2474.2952,
881001.WI,万得全A,2010-05-17,2342.5325,
881001.WI,万得全A,2010-05-18,2376.4202,
881001.WI,万得全A,2010-05-19,2373.8977,
881001.WI,万得全A,2010-05-20,2342.7744,
881001.WI,万得全A,2010-05-21,2379.2729,
881001.WI,万得全A,2010-05-24,2467.0898,
881001.WI,万得全A,2010-05-25,2425.8643,
881001.WI,万得全A,2010-05-26,2429.6675,
881001.WI,万得全A,2010-05-27,2465.9141,
881001.WI,万得全A,2010-05-28,2466.4604,
881001.WI,万得全A,2010-05-31,2405.4834,
881001.WI,万得全A,2010-06-01,2377.688,
881001.WI,万得全A,2010-06-02,2386.0808,
881001.WI,万得全A,2010-06-03,2371.7124,
881001.WI,万得全A,2010-06-04,2379.9822,
881001.WI,万得全A,2010-06-07,2346.9521,
881001.WI,万得全A,2010-06-08,2351.731,
881001.WI,万得全A,2010-06-09,2418.7344,
881001.WI,万得全A,2010-06-10,2400.9795,
881001.WI,万得全A,2010-06-11,2403.2544,
881001.WI,万得全A,2010-06-17,2389.9202,
881001.WI,万得全A,2010-06-18,2334.8423,
881001.WI,万得全A,2010-06-21,2405.1104,
881001.WI,万得全A,2010-06-22,2412.365,
881001.WI,万得全A,2010-06-23,2396.4272,
881001.WI,万得全A,2010-06-24,2398.7239,
881001.WI,万得全A,2010-06-25,2379.6174,
881001.WI,万得全A,2010-06-28,2358.3433,
881001.WI,万得全A,2010-06-29,2251.0808,
881001.WI,万得全A,2010-06-30,2221.4492,
881001.WI,万得全A,2010-07-01,2196.7825,
881001.WI,万得全A,2010-07-02,2199.1772,
881001.WI,万得全A,2010-07-05,2184.6946,
881001.WI,万得全A,2010-07-06,2233.575,
881001.WI,万得全A,2010-07-07,2250.4587,
881001.WI,万得全A,2010-07-08,2246.5378,
881001.WI,万得全A,2010-07-09,2302.0532,
881001.WI,万得全A,2010-07-12,2324.6489,
881001.WI,万得全A,2010-07-13,2289.8896,
881001.WI,万得全A,2010-07-14,2306.3728,
881001.WI,万得全A,2010-07-15,2261.5134,
881001.WI,万得全A,2010-07-16,2265.5232,
881001.WI,万得全A,2010-07-19,2316.978,
881001.WI,万得全A,2010-07-20,2370.1404,
881001.WI,万得全A,2010-07-21,2376.3601,
881001.WI,万得全A,2010-07-22,2405.2024,
881001.WI,万得全A,2010-07-23,2414.2734,
881001.WI,万得全A,2010-07-26,2433.4854,
881001.WI,万得全A,2010-07-27,2423.9746,
881001.WI,万得全A,2010-07-28,2478.6392,
881001.WI,万得全A,2010-07-29,2491.3989,
881001.WI,万得全A,2010-07-30,2485.0549,
881001.WI,万得全A,2010-08-02,2525.6675,
881001.WI,万得全A,2010-08-03,2482.7773,
881001.WI,万得全A,2010-08-04,2495.1399,
881001.WI,万得全A,2010-08-05,2483.5369,
881001.WI,万得全A,2010-08-06,2522.8025,
881001.WI,万得全A,2010-08-09,2539.395,
881001.WI,万得全A,2010-08-10,2463.0813,
881001.WI,万得全A,2010-08-11,2480.165,
881001.WI,万得全A,2010-08-12,2450.4412,
881001.WI,万得全A,2010-08-13,2485.1851,
881001.WI,万得全A,2010-08-16,2539.3618,
881001.WI,万得全A,2010-08-17,2553.5396,
881001.WI,万得全A,2010-08-18,2550.1333,
881001.WI,万得全A,2010-08-19,2564.5752,
881001.WI,万得全A,2010-08-20,2518.7383,
881001.WI,万得全A,2010-08-23,2521.7617,
881001.WI,万得全A,2010-08-24,2537.6367,
881001.WI,万得全A,2010-08-25,2484.8027,
881001.WI,万得全A,2010-08-26,2493.9685,
881001.WI,万得全A,2010-08-27,2502.9478,
881001.WI,万得全A,2010-08-30,2552.074,
881001.WI,万得全A,2010-08-31,2548.1951,
881001.WI,万得全A,2010-09-01,2528.9971,
881001.WI,万得全A,2010-09-02,2567.248,
881001.WI,万得全A,2010-09-03,2573.0613,
881001.WI,万得全A,2010-09-06,2601.4846,
881001.WI,万得全A,2010-09-07,2609.8606,
881001.WI,万得全A,2010-09-08,2612.4822,
881001.WI,万得全A,2010-09-09,2572.9863,
881001.WI,万得全A,2010-09-10,2584.1265,
881001.WI,万得全A,2010-09-13,2615.4402,
881001.WI,万得全A,2010-09-14,2618.3835,
881001.WI,万得全A,2010-09-15,2576.2893,
881001.WI,万得全A,2010-09-16,2523.9675,
881001.WI,万得全A,2010-09-17,2524.8979,
881001.WI,万得全A,2010-09-20,2512.1665,
881001.WI,万得全A,2010-09-21,2514.8953,
881001.WI,万得全A,2010-09-27,2559.8213,
881001.WI,万得全A,2010-09-28,2543.2634,
881001.WI,万得全A,2010-09-29,2532.3484,
881001.WI,万得全A,2010-09-30,2575.3315,
881001.WI,万得全A,2010-10-08,2650.9824,
881001.WI,万得全A,2010-10-11,2705.4341,
881001.WI,万得全A,2010-10-12,2732.1619,
881001.WI,万得全A,2010-10-13,2755.6638,
881001.WI,万得全A,2010-10-14,2741.897,
881001.WI,万得全A,2010-10-15,2811.8662,
881001.WI,万得全A,2010-10-18,2793.7158,
881001.WI,万得全A,2010-10-19,2853.3816,
881001.WI,万得全A,2010-10-20,2865.0239,
881001.WI,万得全A,2010-10-21,2857.5168,
881001.WI,万得全A,2010-10-22,2862.9167,
881001.WI,万得全A,2010-10-25,2937.7632,
881001.WI,万得全A,2010-10-26,2930.7598,
881001.WI,万得全A,2010-10-27,2891.208,
881001.WI,万得全A,2010-10-28,2888.439,
881001.WI,万得全A,2010-10-29,2884.6086,
881001.WI,万得全A,2010-11-01,2961.3882,
881001.WI,万得全A,2010-11-02,2947.374,
881001.WI,万得全A,2010-11-03,2920.3315,
881001.WI,万得全A,2010-11-04,2972.9573,
881001.WI,万得全A,2010-11-05,3013.1863,
881001.WI,万得全A,2010-11-08,3047.5754,
881001.WI,万得全A,2010-11-09,3031.6108,
881001.WI,万得全A,2010-11-10,3021.8269,
881001.WI,万得全A,2010-11-11,3046.0369,
881001.WI,万得全A,2010-11-12,2885.9338,
881001.WI,万得全A,2010-11-15,2923.0405,
881001.WI,万得全A,2010-11-16,2806.0601,
881001.WI,万得全A,2010-11-17,2741.8477,
881001.WI,万得全A,2010-11-18,2774.5728,
881001.WI,万得全A,2010-11-19,2807.896,
