代码,简称,日期,涨跌幅(%),
881001.WI,万得全A,2010-01-04,-0.7461,
881001.WI,万得全A,2010-01-05,0.8095,
881001.WI,万得全A,2010-01-06,-0.6663,
881001.WI,万得全A,2010-01-07,-2.1049,
881001.WI,万得全A,2010-01-08,0.4208,
881001.WI,万得全A,2010-01-11,0.2459,
881001.WI,万得全A,2010-01-12,1.7419,
881001.WI,万得全A,2010-01-13,-2.7308,
881001.WI,万得全A,2010-01-14,1.6438,
881001.WI,万得全A,2010-01-15,0.4508,
881001.WI,万得全A,2010-01-18,0.6528,
881001.WI,万得全A,2010-01-19,0.068,
881001.WI,万得全A,2010-01-20,-3.2699,
881001.WI,万得全A,2010-01-21,0.5031,
881001.WI,万得全A,2010-01-22,-1.3627,
881001.WI,万得全A,2010-01-25,-1.1466,
881001.WI,万得全A,2010-01-26,-2.6642,
881001.WI,万得全A,2010-01-27,-1.1811,
881001.WI,万得全A,2010-01-28,0.5025,
881001.WI,万得全A,2010-01-29,0.0898,
881001.WI,万得全A,2010-02-01,-1.4277,
881001.WI,万得全A,2010-02-02,-0.3208,
881001.WI,万得全A,2010-02-03,2.2024,
881001.WI,万得全A,2010-02-04,0.0183,
881001.WI,万得全A,2010-02-05,-1.8967,
881001.WI,万得全A,2010-02-08,-0.1249,
881001.WI,万得全A,2010-02-09,0.3195,
881001.WI,万得全A,2010-02-10,1.2573,
881001.WI,万得全A,2010-02-11,0.067,
881001.WI,万得全A,2010-02-12,1.128,
881001.WI,万得全A,2010-02-22,-0.4087,
881001.WI,万得全A,2010-02-23,-0.4462,
881001.WI,万得全A,2010-02-24,1.5388,
881001.WI,万得全A,2010-02-25,1.414,
881001.WI,万得全A,2010-02-26,-0.1761,
881001.WI,万得全A,2010-03-01,1.2181,
881001.WI,万得全A,2010-03-02,-0.2812,
881001.WI,万得全A,2010-03-03,0.8108,
881001.WI,万得全A,2010-03-04,-2.5876,
881001.WI,万得全A,2010-03-05,0.2394,
881001.WI,万得全A,2010-03-08,0.8015,
881001.WI,万得全A,2010-03-09,0.5296,
881001.WI,万得全A,2010-03-10,-0.8007,
881001.WI,万得全A,2010-03-11,-0.0701,
881001.WI,万得全A,2010-03-12,-1.3226,
881001.WI,万得全A,2010-03-15,-1.2058,
881001.WI,万得全A,2010-03-16,0.6994,
881001.WI,万得全A,2010-03-17,2.1455,
881001.WI,万得全A,2010-03-18,-0.1136,
881001.WI,万得全A,2010-03-19,0.7352,
881001.WI,万得全A,2010-03-22,0.3262,
881001.WI,万得全A,2010-03-23,-0.6448,
881001.WI,万得全A,2010-03-24,0.2693,
881001.WI,万得全A,2010-03-25,-1.2327,
881001.WI,万得全A,2010-03-26,1.359,
881001.WI,万得全A,2010-03-29,1.973,
881001.WI,万得全A,2010-03-30,0.2685,
881001.WI,万得全A,2010-03-31,-0.4558,
881001.WI,万得全A,2010-04-01,1.3118,
881001.WI,万得全A,2010-04-02,0.3107,
881001.WI,万得全A,2010-04-06,-0.0161,
881001.WI,万得全A,2010-04-07,-0.196,
881001.WI,万得全A,2010-04-08,-0.7917,
881001.WI,万得全A,2010-04-09,1.0184,
881001.WI,万得全A,2010-04-12,-0.3577,
881001.WI,万得全A,2010-04-13,0.4758,
881001.WI,万得全A,2010-04-14,0.4148,
881001.WI,万得全A,2010-04-15,-0.4595,
881001.WI,万得全A,2010-04-16,-0.8618,
881001.WI,万得全A,2010-04-19,-4.7605,
881001.WI,万得全A,2010-04-20,0.1162,
881001.WI,万得全A,2010-04-21,2.1196,
881001.WI,万得全A,2010-04-22,-0.7357,
881001.WI,万得全A,2010-04-23,-0.5881,
881001.WI,万得全A,2010-04-26,-0.4252,
881001.WI,万得全A,2010-04-27,-2.0332,
881001.WI,万得全A,2010-04-28,-0.3763,
881001.WI,万得全A,2010-04-29,-1.4665,
881001.WI,万得全A,2010-04-30,-0.5002,
881001.WI,万得全A,2010-05-04,-1.0545,
881001.WI,万得全A,2010-05-05,1.1716,
881001.WI,万得全A,2010-05-06,-3.8232,
881001.WI,万得全A,2010-05-07,-1.7988,
881001.WI,万得全A,2010-05-10,-0.0265,
881001.WI,万得全A,2010-05-11,-2.1372,
881001.WI,万得全A,2010-05-12,-0.0353,
881001.WI,万得全A,2010-05-13,2.3386,
881001.WI,万得全A,2010-05-14,-0.3279,
881001.WI,万得全A,2010-05-17,-5.3253,
881001.WI,万得全A,2010-05-18,1.4466,
881001.WI,万得全A,2010-05-19,-0.1061,
881001.WI,万得全A,2010-05-20,-1.3111,
881001.WI,万得全A,2010-05-21,1.5579,
881001.WI,万得全A,2010-05-24,3.6909,
881001.WI,万得全A,2010-05-25,-1.671,
881001.WI,万得全A,2010-05-26,0.1568,
881001.WI,万得全A,2010-05-27,1.4918,
881001.WI,万得全A,2010-05-28,0.0222,
881001.WI,万得全A,2010-05-31,-2.4722,
881001.WI,万得全A,2010-06-01,-1.1555,
881001.WI,万得全A,2010-06-02,0.353,
881001.WI,万得全A,2010-06-03,-0.6022,
881001.WI,万得全A,2010-06-04,0.3487,
881001.WI,万得全A,2010-06-07,-1.3878,
881001.WI,万得全A,2010-06-08,0.2036,
881001.WI,万得全A,2010-06-09,2.8491,
881001.WI,万得全A,2010-06-10,-0.7341,
881001.WI,万得全A,2010-06-11,0.0947,
