日期,开盘价(元),最高价(元),最低价(元),收盘价(元)
2022-07-01,"6,999.6770","7,039.8504","6,967.4839","6,994.5009"
2022-07-04,"6,985.0534","7,076.3219","6,928.4012","7,076.3219"
2022-07-05,"7,081.9016","7,098.5729","6,950.2368","7,036.0020"
2022-07-06,"7,014.4512","7,041.8720","6,890.9273","6,953.9802"
2022-07-07,"6,955.5319","7,053.4512","6,910.0868","7,041.8666"
2022-07-08,"7,067.0328","7,084.8969","6,990.7406","7,000.7850"
2022-07-11,"6,976.0956","6,976.0956","6,830.4695","6,893.6346"
2022-07-12,"6,891.5793","6,911.8035","6,779.5552","6,779.5552"
2022-07-13,"6,780.6119","6,855.0679","6,737.8762","6,834.9024"
2022-07-14,"6,823.0925","6,954.9138","6,809.1021","6,920.8735"
2022-07-15,"6,889.8101","6,966.0435","6,852.8163","6,852.8163"
2022-07-18,"6,868.2993","6,953.9319","6,839.1318","6,953.9319"
2022-07-19,"6,956.8634","7,033.2500","6,932.7365","7,009.3239"
2022-07-20,"7,028.7918","7,110.1043","7,019.5129","7,110.1043"
2022-07-21,"7,098.2697","7,134.2176","7,067.1473","7,075.2943"
2022-07-22,"7,081.5627","7,124.3035","6,969.4308","7,034.5975"
2022-07-25,"7,037.7554","7,068.3408","6,933.8186","6,948.9088"
2022-07-26,"6,949.1898","7,031.1124","6,901.9321","7,027.4189"
2022-07-27,"7,018.2244","7,109.5393","7,005.0698","7,099.4335"
2022-07-28,"7,138.3164","7,196.7307","7,112.7436","7,150.1980"
2022-07-29,"7,152.3253","7,179.4714","7,105.3349","7,117.4341"
2022-08-01,"7,100.7119","7,180.4544","7,055.6067","7,180.4544"
2022-08-02,"7,098.1829","7,098.1829","6,872.7542","6,957.9819"
2022-08-03,"6,968.2919","7,079.8536","6,893.5238","6,916.6704"
2022-08-04,"6,953.9832","6,977.3924","6,853.6962","6,960.3118"
2022-08-05,"6,975.8897","7,096.4347","6,961.6460","7,090.0027"
2022-08-08,"7,082.5358","7,176.4835","7,062.3669","7,176.1050"
2022-08-09,"7,168.9596","7,207.3961","7,131.3362","7,207.3961"
2022-08-10,"7,183.1815","7,231.4319","7,169.8802","7,212.0752"
2022-08-11,"7,241.7323","7,295.8915","7,212.3996","7,294.4863"
2022-08-12,"7,287.6510","7,311.8938","7,228.3421","7,228.8345"
2022-08-15,"7,218.0913","7,296.3373","7,215.2042","7,283.5000"
2022-08-16,"7,290.2408","7,356.1096","7,280.9231","7,324.6198"
2022-08-17,"7,330.4818","7,342.6962","7,280.5736","7,328.6735"
2022-08-18,"7,315.4098","7,358.7071","7,298.9297","7,351.4373"
2022-08-19,"7,353.4344","7,369.7314","7,234.4052","7,234.4052"
2022-08-22,"7,214.4808","7,289.3086","7,170.2037","7,288.5766"
2022-08-23,"7,275.3834","7,310.1297","7,267.7859","7,306.0209"
2022-08-24,"7,312.5540","7,315.1008","7,029.8782","7,039.4103"
2022-08-25,"7,065.3359","7,080.7254","6,930.8387","7,016.3057"
2022-08-26,"7,032.6553","7,103.8343","6,966.0658","6,980.1803"
2022-08-29,"6,884.7298","7,022.7944","6,858.4310","7,021.3148"
2022-08-30,"7,018.7227","7,025.4635","6,943.1440","6,976.7218"
2022-08-31,"6,954.5087","6,966.9915","6,738.5243","6,750.7429"
2022-09-01,"6,757.0061","6,819.6172","6,698.8382","6,717.1001"
2022-09-02,"6,731.6726","6,801.3496","6,695.1043","6,776.8268"
2022-09-05,"6,774.1928","6,831.2212","6,739.1353","6,791.0921"
2022-09-06,"6,808.8744","6,919.6464","6,780.4370","6,919.6464"
2022-09-07,"6,894.7141","6,989.7548","6,882.5945","6,963.5196"
2022-09-08,"6,965.5620","6,975.1324","6,889.8630","6,897.0996"
2022-09-09,"6,908.7126","6,918.2042","6,848.2697","6,913.5790"
2022-09-13,"6,935.5905","6,957.3526","6,886.3606","6,904.0775"
2022-09-14,"6,800.9270","6,851.0935","6,783.1881","6,829.5579"
