,初始指数,到期日期,终止指数,敲入日期,敲入点位,敲出日期,敲出点位,敲入敲出状态,敲出所需时间（月度）,完成周期,绝对收益率,年化收益率,得到高票息,敲出,PE_TTM
2015-01-05,2649.64,2017-01-05,2322.68,2015-01-19,2410.2,2015-04-07,2889.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6318
2015-01-06,2629.4,2017-01-06,2308.94,2015-01-19,2410.2,2015-04-07,2889.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5751
2015-01-07,2635.23,2017-01-09,2318.34,2015-01-19,2410.2,2015-04-07,2889.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6867
2015-01-08,2558.11,2017-01-09,2318.34,2015-01-19,2410.2,2015-04-08,2952.08,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.3409
2015-01-09,2569.02,2017-01-09,2318.34,2015-01-19,2410.2,2015-04-09,2931.77,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.3874
2015-01-12,2543.85,2017-01-12,2295.4,2015-01-19,2410.2,2015-04-13,3041.13,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2296
2015-01-13,2527.83,2017-01-13,2308.06,2015-02-02,2332.53,2015-04-13,3041.13,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2069
2015-01-14,2534.23,2017-01-16,2337.39,2015-01-20,2403.72,2015-04-14,3052.41,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.1859
2015-01-15,2632.89,2017-01-16,2337.39,2015-01-19,2410.2,2015-04-15,3053.3,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.7443
2015-01-16,2653.03,2017-01-16,2337.39,2015-01-19,2410.2,2015-04-16,3183.3,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.9057
2015-01-19,2410.2,2017-01-19,2334.96,2015-08-21,2271.36,2015-04-20,3164.46,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7902
2015-01-20,2403.72,2017-01-20,2347.18,2015-08-21,2271.36,2015-04-20,3164.46,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.8857
2015-01-21,2542.32,2017-01-23,2347.1,2015-01-30,2405.38,2015-04-21,3214.36,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5483
2015-01-22,2544.31,2017-01-23,2347.1,2015-01-30,2405.38,2015-04-22,3299.22,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5546
2015-01-23,2564.51,2017-01-23,2347.1,2015-01-30,2405.38,2015-04-23,3273.4,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6678
2015-01-26,2562.36,2017-01-26,2364.02,2015-01-30,2405.38,2015-04-27,3308.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6817
2015-01-27,2522.1,2017-02-03,2339.99,2015-02-02,2332.53,2015-04-27,3308.45,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.4642
2015-01-28,2486.29,2017-02-03,2339.99,2015-02-02,2332.53,2015-04-28,3282.33,敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2451
2015-01-29,2442.04,2017-02-03,2339.99,2015-08-21,2271.36,2015-04-29,3283.28,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.0261
2015-01-30,2405.38,2017-02-03,2339.99,2015-08-21,2271.36,2015-04-30,3250.49,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.8112
2015-02-02,2332.53,2017-02-03,2339.99,2015-08-24,2058.25,2015-05-04,3272.01,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4371
2015-02-03,2405.76,2017-02-03,2339.99,2015-08-21,2271.36,2015-05-04,3272.01,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7922
2015-02-04,2372.46,2017-02-06,2343.97,2015-08-24,2058.25,2015-05-04,3272.01,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6261
2015-02-05,2348.92,2017-02-06,2343.97,2015-08-24,2058.25,2015-05-05,3148.81,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4875
2015-02-06,2325.24,2017-02-06,2343.97,2015-08-24,2058.25,2015-05-06,3139.02,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.3052
2015-02-09,2366.77,2017-02-09,2354.9,2015-08-24,2058.25,2015-05-11,3169.13,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4636
2015-02-10,2403.55,2017-02-10,2368.18,2015-08-21,2271.36,2015-05-11,3169.13,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6304
2015-02-11,2415.13,2017-02-13,2379.31,2015-08-21,2271.36,2015-05-11,3169.13,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6546
2015-02-12,2416.45,2017-02-13,2379.31,2015-08-21,2271.36,2015-05-12,3188.31,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6908
2015-02-13,2427.47,2017-02-13,2379.31,2015-08-21,2271.36,2015-05-13,3141.3,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.755
2015-02-16,2431.21,2017-02-16,2376.76,2015-08-21,2271.36,2015-05-18,2998.39,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7464
2015-02-17,2445.26,2017-02-17,2362.71,2015-08-21,2271.36,2015-05-18,2998.39,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.8196
2015-02-25,2407.46,2017-02-27,2370.56,2015-08-21,2271.36,2015-05-25,3349.95,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7246
2015-02-26,2478.06,2017-02-27,2370.56,2015-08-21,2271.36,2015-05-26,3386.59,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9818
2015-02-27,2474.6,2017-02-27,2370.56,2015-08-21,2271.36,2015-05-27,3344.74,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9866
2015-03-02,2479.24,2017-03-02,2354.91,2015-08-21,2271.36,2015-06-02,3258.31,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9858
2015-03-03,2396.81,2017-03-03,2347.15,2015-08-21,2271.36,2015-06-03,3238.43,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.5981
2015-03-04,2397.99,2017-03-06,2349.89,2015-08-21,2271.36,2015-06-04,3299.03,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.5995
2015-03-05,2366.9,2017-03-06,2349.89,2015-08-24,2058.25,2015-06-05,3303.99,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.4344
2015-03-06,2371.62,2017-03-06,2349.89,2015-08-24,2058.25,2015-06-08,3458.71,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.47
2015-03-09,2429.87,2017-03-09,2346.55,2015-08-21,2271.36,2015-06-09,3414.0,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.7509
2015-03-10,2395.43,2017-03-10,2339.23,2015-08-21,2271.36,2015-06-10,3370.38,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.5795
2015-03-11,2408.5,2017-03-13,2354.89,2015-08-21,2271.36,2015-06-11,3347.12,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.6303
2015-03-12,2485.11,2017-03-13,2354.89,2015-08-20,2356.92,2015-06-12,3350.25,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9479
2015-03-13,2495.28,2017-03-13,2354.89,2015-08-20,2356.92,2015-06-15,3262.48,不敲入，敲出,3.0,1,0.00125,0.005,1,1,10.9676
2015-03-16,2550.86,2017-03-16,2369.19,2015-08-18,2407.97,2015-06-16,3179.65,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.1616
2015-03-17,2583.2,2017-03-17,2346.96,2015-08-18,2407.97,2015-06-17,3211.71,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.2993
2015-03-18,2649.64,2017-03-20,2350.07,2015-07-27,2493.29,2015-06-18,3068.49,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.5667
2015-03-19,2630.24,2017-03-20,2350.07,2015-07-27,2493.29,2015-06-19,2903.06,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.4822
2015-03-20,2680.68,2017-03-20,2350.07,2015-07-27,2493.29,2015-06-23,3003.16,不敲入，敲出,3.0,1,0.00125,0.005,1,1,11.6264
