日期,买入净值,到期日,到期净值,收益率,凭证收益率,是否敲出
2019-01-02,4408.5252,2020-01-02,5676.5579,0.2876319500226514,0.035,1.0
2019-01-03,4376.8582,2020-01-03,5706.0438,0.30368486692120866,0.035,1.0
2019-01-04,4497.8933,2020-01-04,5764.7334,0.28165187911416223,0.035,1.0
2019-01-07,4594.1482,2020-01-07,5852.3609,0.2738729020539652,0.035,1.0
2019-01-08,4585.0325,2020-01-08,5772.4742,0.2589821773346208,0.035,1.0
2019-01-09,4594.7385,2020-01-09,5864.1821,0.2762820125672003,0.035,1.0
2019-01-10,4582.4828,2020-01-10,5851.8928,0.2770135874814412,0.035,1.0
2019-01-11,4621.6108,2020-01-11,5926.7222,0.2823931863756246,0.035,1.0
2019-01-14,4594.1901,2020-01-14,5914.1131,0.28730265210401273,0.035,1.0
2019-01-15,4644.1664,2020-01-15,5913.518,0.2733217311076537,0.035,1.0
2019-01-16,4637.1968,2020-01-16,5902.1318,0.2727800985284905,0.035,1.0
2019-01-17,4595.4901,2020-01-17,5879.4121,0.2793873933054496,0.035,1.0
2019-01-18,4626.4129,2020-01-18,5954.8668,0.28714555503681893,0.035,1.0
2019-01-21,4655.1105,2020-01-21,5901.8587,0.2678235457568623,0.035,1.0
2019-01-22,4603.2028,2020-01-22,5919.587,0.28597136758780217,0.035,1.0
2019-01-23,4609.6722,2020-01-23,5699.0083,0.23631530675868895,0.035,1.0
2019-01-24,4635.7473,2020-01-24,5200.1624,0.12175277543709084,0.035,1.0
2019-01-25,4607.9448,2020-01-25,5200.1624,0.12852098401873224,0.035,1.0
2019-01-28,4570.3992,2020-01-28,5200.1624,0.13779172725218403,0.035,1.0
2019-01-29,4490.0512,2020-01-29,5200.1624,0.15815213866603584,0.035,1.0
2019-01-30,4423.1355,2020-01-30,5200.1624,0.17567332043072148,0.035,1.0
2019-01-31,4355.7359,2020-01-31,5200.1624,0.19386540400670316,0.035,1.0
2019-02-01,4482.9853,2020-02-01,5200.1624,0.1599775711956941,0.035,1.0
2019-02-11,4611.8298,2020-02-11,5623.2586,0.21931182282572514,0.035,1.0
2019-02-12,4675.7918,2020-02-12,5754.2577,0.23064882829042999,0.035,1.0
2019-06-17,5160.6726,2020-06-17,6178.1413,0.1971581572526031,0.035,1.0
2019-06-18,5160.8783,2020-06-18,6149.2892,0.19151990078898007,0.035,1.0
2019-06-19,5234.2753,2020-06-19,6187.1082,0.182037215352429,0.035,1.0
2019-06-20,5317.31,2020-06-20,6228.0162,0.17127197774814706,0.035,1.0
2019-06-21,5406.04,2020-06-21,6228.0162,0.15204774659454978,0.035,1.0
2019-06-24,5403.7981,2020-06-24,6227.5693,0.15244300115505793,0.035,1.0
2019-06-25,5351.6898,2020-06-25,6211.3813,0.16063926201402778,0.035,1.0
2019-06-26,5351.391,2020-06-26,6211.3813,0.16070406740976328,0.035,1.0
2019-06-27,5397.5712,2020-06-27,6211.3813,0.15077338859374367,0.035,1.0
2019-06-28,5321.4331,2020-06-28,6211.3813,0.1672384455984235,0.035,1.0
2019-07-01,5481.4086,2020-07-01,6339.3685,0.15652179259178012,0.035,1.0
2019-07-02,5483.515,2020-07-02,6413.952,0.16967893768869047,0.035,1.0
2019-07-03,5428.5142,2020-07-03,6478.3539,0.19339356245950334,0.035,1.0
2019-07-04,5404.3836,2020-07-04,6725.9962,0.2445445582360215,0.035,1.0
2019-07-05,5424.2503,2020-07-05,6725.9962,0.23998632585225654,0.035,1.0
2019-07-08,5244.2661,2020-07-08,6973.9967,0.329832729121049,0.035,1.0
2019-07-09,5260.3435,2020-07-09,7182.1769,0.36534370806773375,0.035,1.0
2019-07-10,5214.6441,2020-07-10,7150.4243,0.37122000329801974,0.035,1.0
2019-07-11,5206.3985,2020-07-11,7403.0857,0.42192068086989476,0.035,1.0
2019-07-12,5219.1888,2020-07-12,7403.0857,0.41843607956853357,0.035,1.0
2019-07-15,5273.8148,2020-07-15,7131.4636,0.3522400521155957,0.035,1.0
2019-07-16,5285.229,2020-07-16,6758.1403,0.2786844808427411,0.035,1.0
2019-07-17,5289.4244,2020-07-17,6772.5322,0.2803911518236275,0.035,1.0
2019-07-18,5194.6017,2020-07-18,7003.6672,0.3482587510029882,0.035,1.0
2019-07-19,5220.0273,2020-07-19,7003.6672,0.3416916804247365,0.035,1.0
2019-07-22,5073.3332,2020-07-22,7125.5686,0.40451421562455225,0.035,1.0
2019-07-23,5131.0973,2020-07-23,7119.6711,0.3875533211970077,0.035,1.0
2019-07-24,5194.829,2020-07-24,6784.6347,0.30603619483913724,0.035,1.0
2019-07-25,5211.0858,2020-07-25,6786.529,0.3023253234479464,0.035,1.0
2019-07-26,5216.6018,2020-07-26,6786.529,0.30094825332460684,0.035,1.0
2019-07-29,5218.9831,2020-07-29,7060.5347,0.35285640223667314,0.035,1.0
2019-07-30,5239.7181,2020-07-30,7048.9813,0.3452978128727957,0.035,1.0
2019-07-31,5200.0945,2020-07-31,7141.592,0.3733581187803412,0.035,1.0
