日期,买入净值,到期日,到期净值,期间最高收盘价,收益率,期间最高收益率,凭证收益率,是否敲出
2018-01-02,7092.095,2019-01-02,4408.5252,7188.291,-0.37838886816941963,0.013563834099797,0.005,0.0
2018-01-03,7159.876,2019-01-03,4376.8582,7188.291,-0.3886963684845939,0.003968644149703104,0.005,0.0
2018-01-04,7174.865,2019-01-04,4497.8933,7188.291,-0.37310412112283653,0.0018712547204722263,0.005,0.0
2018-01-05,7176.868,2019-01-05,4594.1482,7188.291,-0.35986725685912024,0.0015916413677943275,0.005,0.0
2018-01-08,7188.291,2019-01-08,4585.0325,7188.291,-0.3621526312721619,0.0,0.005,0.0
2018-01-09,7176.742,2019-01-09,4594.7385,7176.742,-0.3597737664249321,0.0,0.005,0.0
2018-01-10,7138.781,2019-01-10,4582.4828,7175.398,-0.35808609341006536,0.005129307090384172,0.005,0.0
2018-01-11,7175.398,2019-01-11,4621.6108,7175.398,-0.3559087872198866,0.0,0.005,0.0
2018-01-12,7127.828,2019-01-12,4594.1901,7127.828,-0.3554572164199249,0.0,0.005,0.0
2018-01-15,6929.307,2019-01-15,4644.1664,7072.406,-0.32977909623574186,0.02065127147635404,0.005,0.0
2018-01-16,6960.677,2019-01-16,4637.1968,7072.406,-0.33380089321771433,0.01605145591441759,0.005,0.0
2018-01-17,6942.863,2019-01-17,4595.4901,7072.406,-0.3380986921389635,0.018658441049463237,0.005,0.0
2018-01-18,6955.232,2019-01-18,4626.4129,7072.406,-0.33482982307419795,0.01684688591264827,0.005,0.0
2018-01-19,6938.312,2019-01-19,4655.1105,7072.406,-0.3290716099247195,0.019326602781771784,0.005,0.0
2018-01-22,7014.548,2019-01-22,4603.2028,7072.406,-0.3437634470531814,0.008248286275894134,0.005,0.0
2018-01-23,7019.975,2019-01-23,4609.6722,7072.406,-0.34334919996153834,0.007468830017200778,0.005,0.0
2018-01-24,7072.406,2019-01-24,4635.7473,7072.406,-0.34453037622557303,0.0,0.005,0.0
2018-01-25,7062.635,2019-01-25,4607.9448,7062.635,-0.3475601103554127,0.0,0.005,0.0
2018-01-26,7056.013,2019-01-26,4570.3992,7056.013,-0.35226888045699467,0.0,0.005,0.0
2018-01-29,6972.479,2019-01-29,4490.0512,6972.479,-0.35603230931208263,0.0,0.005,0.0
2018-01-30,6955.243,2019-01-30,4423.1355,6955.243,-0.36405737369636115,0.0,0.005,0.0
2018-01-31,6791.009,2019-01-31,4355.7359,6947.46,-0.35860254345120146,0.023037960927455803,0.005,0.0
2018-02-01,6506.453,2019-02-01,4482.9853,6947.46,-0.3109939778247841,0.06777994092941264,0.005,0.0
2018-02-02,6487.867,2019-02-02,4611.8298,6947.46,-0.28916085980184236,0.07083884426114162,0.005,0.0
2018-02-05,6461.813,2019-02-05,4611.8298,6947.46,-0.2862947596905079,0.07515646150701039,0.005,0.0
2018-02-06,6142.668,2019-02-06,4611.8298,6947.46,-0.24921389207425815,0.13101668525793686,0.035,1.0
2018-02-07,6158.257,2019-02-07,4611.8298,6947.46,-0.25111443059294203,0.1281536317824996,0.035,1.0
2018-02-08,6238.221,2019-02-08,4611.8298,6947.46,-0.260713943927283,0.11369250945101195,0.035,1.0
2018-02-09,6053.02,2019-02-09,4611.8298,6947.46,-0.23809440576769936,0.14776756065567254,0.035,1.0
2018-02-12,6203.752,2019-02-12,4675.7918,6947.46,-0.24629614465568583,0.11988035627471882,0.035,1.0
2018-02-13,6216.51,2019-02-13,4759.8256,6947.46,-0.23432511167841763,0.11758205166564517,0.035,1.0
2018-02-14,6230.663,2019-02-14,4780.0441,6947.46,-0.2328193484385208,0.11504345524705806,0.035,1.0
2018-02-22,6347.083,2019-02-22,5059.5092,6947.46,-0.20286071570200037,0.09459101133544356,0.005,0.0
2018-02-23,6365.916,2019-02-23,5324.2471,6947.46,-0.16363220941024048,0.09135276054537944,0.005,0.0
2018-02-26,6507.128,2019-02-26,5323.7574,6947.46,-0.181857587556292,0.06766917755421442,0.005,0.0
2018-02-27,6529.38,2019-02-27,5310.2745,6947.46,-0.1867107596739659,0.06403058177039789,0.005,0.0
2018-02-28,6563.808,2019-02-28,5330.3392,6947.46,-0.1879196953963309,0.05844960730112758,0.005,0.0
2018-03-01,6658.578,2019-03-01,5364.3661,6947.46,-0.19436761122269652,0.04338493894642359,0.005,0.0
2018-03-02,6632.371,2019-03-02,5482.2985,6947.46,-0.17340292031311277,0.04750774647558176,0.005,0.0
2018-03-05,6674.277,2019-03-05,5654.3058,6947.46,-0.15282122692839983,0.040930725530270884,0.005,0.0
2018-03-06,6735.859,2019-03-06,5776.9732,6947.46,-0.14235538481431986,0.031414107688418014,0.005,0.0
2018-03-07,6688.545,2019-03-07,5877.2974,6947.46,-0.12128909949772326,0.03871021275927733,0.005,0.0
2018-03-08,6725.183,2019-03-08,5633.3187,6947.46,-0.16235458574138428,0.0330514426150188,0.005,0.0
